Title,Author,Year,Ratings,Reviews,Cover_type,Price($)
Water for Elephants: A Novel,Sara Gruen,2011-01-01,4.5,11718,Paperback,10.29
"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,2011-01-01,4.6,12414,Hardcover,20.14
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,2011-01-01,4.5,10236,Hardcover,22.49
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,2011-01-01,4.6,5454,Hardcover,12.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2011-01-01,4.6,1762,Paperback,24.99
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,2011-01-01,4.2,2828,Hardcover,18.48
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,2011-01-01,4.7,7434,Hardcover,15.09
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,2011-01-01,4.5,5505,Hardcover,8.47
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,2011-01-01,4.5,8445,Hardcover,15.5
The Litigators,John Grisham,2011-01-01,4.4,32875,Hardcover,17.88
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,2011-01-01,4.4,2903,Hardcover,22.99
The Help,Kathryn Stockett,2011-01-01,4.7,33007,Paperback,9.89
"Thinking, Fast and Slow",Daniel Kahneman,2011-01-01,4.6,40490,Hardcover,19.49
The Paris Wife: A Novel,Paula McLain,2011-01-01,4.3,13391,Hardcover,15.4
Radical: Taking Back Your Faith from the American Dream,David Platt,2011-01-01,4.7,3271,Paperback,9.36
The Art of Racing in the Rain: A Novel,Garth Stein,2011-01-01,4.6,31722,Paperback,10.78
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,2011-01-01,4.5,884,Paperback,17.45
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,2011-01-01,4.5,11195,Paperback,12.99
"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",Thomas Campbell,2011-01-01,4.7,6462,Paperback,0.75
What to Expect When You're Expecting,Heidi Murkoff,2011-01-01,4.8,32912,Paperback,17.43
The Best of Me,Nicholas Sparks,2011-01-01,4.5,16069,Hardcover,19.96
Jacqueline Kennedy: Historic Conversations on Life with John F. Kennedy,Jacqueline Kennedy,2011-01-01,4.3,761,Hardcover,40.74
The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),Stieg Larsson,2011-01-01,4.5,31491,Paperback,10.07
The Greater Journey: Americans in Paris,David McCullough,2011-01-01,4.5,2495,Hardcover,20.0
Switch: How to Change Things When Change Is Hard,Chip Heath,2011-01-01,4.6,5549,Hardcover,10.49
Every Thing On It,Shel Silverstein,2011-01-01,4.9,1914,Hardcover,11.99
