,Rank,Title,Author,Year,Ratings,Reviews,Cover_type,Price($)
719,24,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2016,4.7,"107,961",Paperback,7.74
720,25,Milk and Honey,Rupi Kaur,2016,4.7,"60,326",Paperback,7.83
721,26,The Going To Bed Book,Sandra Boynton,2016,4.8,"17,469",Board book,3.97
722,27,Born to Run,Bruce Springsteen,2016,4.6,"12,963",Hardcover,16.99
723,28,Alexander Hamilton,Ron Chernow,2016,4.7,"31,808",Paperback,12.64
724,29,The Very Hungry Caterpillar,Eric Carle,2016,4.9,"59,834",Board book,5.57
725,30,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2016,4.7,"9,405",Paperback,19.65
726,31,The Constitution of the United States,,2016,4.9,Delegates of the Constitutional Convention,Pamphlet,1.50
727,32,Wonder,R. J. Palacio,2016,4.7,"83,319",Hardcover,9.40
728,33,The Wonderful Things You Will Be,Emily Winfield Martin,2016,4.9,"28,456",Hardcover,9.40
729,34,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,2016,4.7,"45,565",Paperback,8.89
730,35,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),,2016,4.6,Thug Kitchen,Hardcover,22.99
731,36,Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,,2016,4.7,Scholastic,Paperback,
732,37,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2016,4.5,"12,971",Paperback,15.38
733,38,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,2016,4.7,"11,137",Hardcover,15.69
734,39,Between the World and Me,Ta-Nehisi Coates,2016,4.6,"39,082",Hardcover,13.59
735,40,Calm the F*ck Down: An Irreverent Adult Coloring Book,Sasha O'Hara,2016,4.6,"21,343",Paperback,6.14
736,41,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,2016,4.9,"28,326",Board book,5.00
737,42,"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,2016,4.9,"43,004",Hardcover,8.89
738,43,Night (Night),Elie Wiesel,2016,4.7,"20,176",Paperback,6.27
739,,,,2016,,,,
740,45,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,2016,4.9,"112,387",Paperback,45.44
741,46,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,2016,4.9,"25,678",Hardcover,21.34
742,47,10-Day Green Smoothie Cleanse,JJ Smith,2016,4.7,"37,683",Paperback,9.89
743,48,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,2016,4.7,"11,661",Paperback,10.49
744,49,The Nightingale: A Novel,Kristin Hannah,2016,4.7,"284,317",Hardcover,15.73
745,50,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2) (2)",J. K. Rowling,2016,4.9,"14,697",Hardcover,23.63
746,51,Fahrenheit 451,Ray Bradbury,2016,4.6,"48,410",Paperback,8.36
747,52,Love You Forever,Robert Munsch,2016,4.9,"59,707",Paperback,4.98
748,53,The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,2016,4.4,"15,470",Paperback,6.84
749,54,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",,2016,4.6,Patrick Lencioni,Hardcover,20.14
750,55,All the Light We Cannot See,Anthony Doerr,2016,4.5,"215,225",Hardcover,15.15
751,56,"Brown Bear, Brown Bear, What Do You See?",,2016,4.9,Bill Martin Jr.,Board book,4.94
752,57,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,2016,4.6,"140,761",Paperback,11.15
753,58,"Fervent: A Woman's Battle Plan to Serious, Specific and Strategic Prayer",Priscilla Shirer,2016,4.9,"10,820",Paperback,10.59
754,59,The Whistler,John Grisham,2016,4.3,"104,036",Hardcover,15.68
755,60,If Animals Kissed Good Night,Ann Whitford Paul,2016,4.8,"73,090",Board book,4.19
756,61,Cooking for Jeffrey: A Barefoot Contessa Cookbook,Ina Garten,2016,4.7,"2,611",Hardcover,18.63
757,62,"The Trials of Apollo, Book 1: The Hidden Oracle",Rick Riordan,2016,4.7,"22,427",Hardcover,11.20
758,63,Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),Rob Elliott,2016,4.5,"5,945",Paperback,4.99
759,64,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),,2016,4.8,Golden Books,Hardcover,4.02
760,65,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,2016,4.7,"40,372",Paperback,12.85
761,66,"Crisis of Character: A White House Secret Service Officer Discloses His Firsthand Experience with Hillary, Bill, and How They Operate",Gary J. Byrne,2016,4.1,"13,622",Hardcover,14.64
762,67,First 100 Animals,Roger Priddy,2016,4.8,"9,980",Board book,5.68
763,68,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",Coloring Books for Adults,2016,4.5,"3,190",Paperback,8.49
764,69,Goodnight Moon,Margaret Wise Brown,2016,4.9,"27,618",Board book,5.36
765,70,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,2016,4.7,"29,033",Paperback,8.99
766,71,Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children),Ransom Riggs,2016,4.3,"36,838",Paperback,8.54
767,72,Grit: The Power of Passion and Perseverance,Angela Duckworth,2016,4.6,"18,373",Hardcover,15.69
768,73,Emotional Intelligence 2.0,Travis Bradberry,2016,4.5,"12,653",Hardcover,14.98
769,74,The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel,Colson Whitehead,2016,4.4,"66,697",Hardcover,14.65
770,75,The Outsiders,S. E. Hinton,2016,4.8,"36,161",Paperback,5.74
771,76,The Food Lab: Better Home Cooking Through Science,J. Kenji López-Alt,2016,4.9,"9,972",Hardcover,27.99
772,77,Me Before You: A Novel (Movie Tie-In),Jojo Moyes,2016,4.6,"1,232",Paperback,
773,78,Chicka Chicka Boom Boom (Board Book),,2016,4.9,Bill Martin Jr.,Board book,4.59
774,79,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",,2016,4.8,Valorie Schaefer,Paperback,7.93
775,80,Potty (Leslie Patricelli board books),Leslie Patricelli,2016,4.7,"13,739",Board book,8.99
776,81,"Tools Of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,2016,4.6,"11,524",Hardcover,15.89
777,82,"First 100 Padded: Numbers, Colors, Shapes",Roger Priddy,2016,4.8,"7,333",Hardcover,5.59
778,83,Good Vibes Coloring Book (Coloring is Fun) (Design Originals): 30 Beginner-Friendly & Relaxing Creative Art Activities; Positive Messages & Inspirational Quotes; Perforated Paper Resists Bleed Through,Thaneeya McArdle,2016,4.7,"7,394",Paperback,7.41
779,84,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,2016,4.4,"13,254",Paperback,9.93
780,85,Quieting Your Heart: 6-Month Bible-Study Journal,Darlene Schacht,2016,4.5,"1,597",Paperback,9.99
781,86,The Book with No Pictures,B. J. Novak,2016,4.8,"19,065",Hardcover,9.90
782,87,Creative Haven Owls Coloring Book (Adult Coloring Books: Animals),Marjorie Sarnat,2016,4.7,"5,322",Paperback,5.38
783,88,"Magnus Chase and the Gods of Asgard, Book 2: Hammer of Thor, The-Magnus Chase and the Gods of Asgard, Book 2",Rick Riordan,2016,4.7,"14,182",Hardcover,10.49
784,89,Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,Johanna Basford,2016,4.7,"15,464",Paperback,12.15
785,90,Harry Potter and the Sorcerer's Stone,J.K. Rowling,2016,4.8,"5,292",Paperback,6.98
786,91,Dragons Love Tacos,Adam Rubin,2016,4.8,"18,114",Hardcover,9.92
787,92,D&D Player’s Handbook (Dungeons & Dragons Core Rulebook),,2016,4.9,Dungeons & Dragons,Hardcover,26.10
788,93,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!",Tom Robinson,2016,4.6,"6,473",Paperback,7.59
789,94,1984,George Orwell,2016,4.6,"110,330",Mass Market Paperback,7.48
790,95,"The Giver: A Newbery Award Winner (Giver Quartet, 1)",Lois Lowry,2016,4.6,"39,207",Paperback,7.87
791,,,,2016,,,,
792,97,"Thinking, Fast and Slow",Daniel Kahneman,2016,4.6,"40,490",Paperback,11.29
793,98,Little Blue Truck board book,Alice Schertle,2016,4.9,"8,207",Board book,
794,99,Harry Potter Coloring Book,Scholastic,2016,4.8,"15,766",Paperback,11.60
795,100,The Day the Crayons Quit,Drew Daywalt,2016,4.8,"22,782",Hardcover,9.40
796,1,Wonder,R. J. Palacio,2017,4.7,"83,319",Hardcover,9.40
797,2,Milk and Honey,Rupi Kaur,2017,4.7,"60,326",Paperback,7.83
798,3,Giraffes Can't Dance (Board Book),,2017,4.8,Giles Andreae,Board book,5.94
799,4,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,2017,4.6,"138,024",Hardcover,14.38
800,5,The Getaway,Jeff Kinney,2017,4.7,"29,550",Hardcover,10.62
801,6,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,2017,4.4,"13,254",Paperback,9.93
802,7,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,2017,4.3,"95,584",Hardcover,13.00
803,8,Astrophysics for People in a Hurry,Neil deGrasse Tyson,2017,4.6,"35,178",Hardcover,9.99
804,9,First 100 Words: A Padded Board Book,Roger Priddy,2017,4.7,"37,033",Board book,4.78
805,10,The Whole30: The 30-Day Guide to Total Health and Food Freedom,,2017,4.6,Melissa Hartwig Urban,Hardcover,16.26
806,11,The Handmaid's Tale,Margaret Atwood,2017,4.3,"154,680",Paperback,9.53
807,12,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2017,4.8,"89,698",Paperback,8.39
808,13,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,2017,4.7,"45,565",Paperback,8.89
809,14,What Happened,Hillary Rodham Clinton,2017,4.5,"11,150",Hardcover,12.98
810,15,"Oh, the Places You'll Go!  ",Dr. Seuss,2017,4.9,"48,035",Hardcover,7.49
811,16,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,2017,4.7,"43,647",Hardcover,11.58
812,17,1984,George Orwell,2017,4.6,"110,330",Mass Market Paperback,7.48
813,18,How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,2017,4.7,"111,894",Paperback,10.30
814,19,Origin: A Novel (Robert Langdon),Dan Brown,2017,4.3,"135,690",Hardcover,19.99
815,20,A Man Called Ove: A Novel,Fredrik Backman,2017,4.6,"186,142",Paperback,10.93
816,21,The Sun and Her Flowers,Rupi Kaur,2017,4.7,"21,600",Paperback,8.89
817,22,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,2017,4.9,"28,326",Board book,5.00
818,23,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2017,4.7,"107,961",Paperback,7.74
819,24,The Going To Bed Book,Sandra Boynton,2017,4.8,"17,469",Board book,3.97
820,25,StrengthsFinder 2.0,,2017,4.1,Gallup,Hardcover,20.96
821,26,The Wonderful Things You Will Be,Emily Winfield Martin,2017,4.9,"28,456",Hardcover,9.40
822,27,The Shack: Where Tragedy Confronts Eternity,William P. Young,2017,4.6,"41,129",Paperback,10.14
823,28,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,,2017,4.5,Marie Kondō,Hardcover,8.89
824,29,"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,2017,4.4,"7,765",Hardcover,15.01
825,30,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),,2017,4.6,Thug Kitchen,Hardcover,22.99
826,31,A Gentleman in Moscow: A Novel,Amor Towles,2017,4.6,"126,785",Hardcover,14.83
827,32,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2017,4.5,"12,971",Paperback,15.38
828,33,Goodnight Moon,Margaret Wise Brown,2017,4.9,"27,618",Board book,5.36
829,34,Thirteen Reasons Why,Jay Asher,2017,4.4,"27,505",Paperback,7.99
830,35,Leonardo da Vinci,Walter Isaacson,2017,4.5,"10,006",Hardcover,19.60
831,36,The Pout-Pout Fish,Deborah Diesen,2017,4.8,"25,836",Board book,4.98
832,37,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3) (3)",Mr. Jim Kay,2017,4.9,"15,230",Hardcover,22.98
833,38,If Animals Kissed Good Night,Ann Whitford Paul,2017,4.8,"73,090",Board book,4.19
834,39,"Brown Bear, Brown Bear, What Do You See?",,2017,4.9,Bill Martin Jr.,Board book,4.94
835,40,D&D Player’s Handbook (Dungeons & Dragons Core Rulebook),,2017,4.9,Dungeons & Dragons,Hardcover,26.10
836,41,The Very Hungry Caterpillar,Eric Carle,2017,4.9,"59,834",Board book,5.57
837,42,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),,2017,4.8,Golden Books,Hardcover,4.02
838,43,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2017,4.6,"11,767",Paperback,4.99
839,44,"Tools Of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,2017,4.6,"11,524",Hardcover,15.89
840,45,Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,2017,4.5,"7,034",Paperback,7.99
841,46,Ready Player One: A Novel,Ernest Cline,2017,4.6,"147,800",Paperback,10.45
842,47,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,2017,4.8,"19,034",Hardcover,13.99
843,48,Obama: An Intimate Portrait,Pete Souza,2017,4.9,"10,408",Hardcover,24.22
844,49,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2017,4.7,"9,405",Paperback,19.65
845,50,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,2017,4.4,"49,624",Hardcover,28.49
846,51,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",,2017,4.8,Valorie Schaefer,Paperback,7.93
847,52,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,2017,4.7,"11,661",Paperback,10.49
848,53,Big Little Lies,Liane Moriarty,2017,4.4,"157,409",Paperback,13.07
849,54,The Official SAT Study Guide,The College Board,2017,4.5,"2,426",Paperback,
850,55,The Whole30 Cookbook: 150 Delicious and Totally Compliant Recipes to Help You Succeed with the Whole30 and Beyond,,2017,4.6,Melissa Hartwig Urban,Hardcover,15.92
851,56,"Thinking, Fast and Slow",Daniel Kahneman,2017,4.6,"40,490",Paperback,11.29
852,57,"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,2017,4.9,"43,004",Hardcover,8.89
853,58,What to Expect When You're Expecting,Heidi Murkoff,2017,4.8,"32,912",Paperback,12.88
854,59,The Glass Castle: A Memoir (book),Jeannette Walls,2017,4.6,"39,288",Paperback,9.68
855,60,The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,2017,4.4,"15,470",Paperback,6.84
856,61,The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,Oprah Winfrey,2017,4.6,"2,961",Hardcover,14.69
857,62,P is for Potty! (Sesame Street) (Lift-the-Flap),,2017,4.7,Naomi Kleinberg,Board book,5.19
858,63,The Rooster Bar,John Grisham,2017,4.0,"55,431",Hardcover,10.98
859,64,The Giving Tree,Shel Silverstein,2017,4.9,"32,269",Hardcover,10.98
860,65,She Persisted: 13 American Women Who Changed the World,Chelsea Clinton,2017,4.8,"3,173",Hardcover,10.01
861,66,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,2017,4.7,"28,758",Paperback,6.30
862,67,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,2017,4.6,"140,761",Paperback,11.15
863,68,Fahrenheit 451,Ray Bradbury,2017,4.6,"48,410",Paperback,8.36
864,69,Camino Island: A Novel,John Grisham,2017,4.2,"78,906",Hardcover,13.49
865,70,Turtles All the Way Down,John Green,2017,4.4,"24,500",Hardcover,11.99
866,71,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,2017,4.7,"40,372",Paperback,12.85
867,72,Love You Forever,Robert Munsch,2017,4.9,"59,707",Paperback,4.98
868,73,"The Pioneer Woman Cooks―Come and Get It!: Simple, Scrumptious Recipes for Crazy Busy Lives",Ree Drummond,2017,4.8,"5,008",Hardcover,17.27
869,74,Mindset: The New Psychology of Success,,2017,4.6,Carol S. S. Dweck,Paperback,11.66
870,75,Where Is Baby's Belly Button? A Lift-the-Flap Book,Karen Katz,2017,4.8,"13,573",Board book,5.00
871,76,Grant,Ron Chernow,2017,4.8,"13,464",Hardcover,21.15
872,77,,,2017,4.6,847,,14.05
873,78,Sapiens: A Brief History of Humankind,Yuval Noah Harari,2017,4.6,"134,021",Hardcover,21.49
874,79,The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,Benjamin Graham,2017,4.7,"38,417",Paperback,16.54
875,80,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",,2017,4.4,Dr. Steven R Gundry  MD,Hardcover,15.15
876,81,"Trials of Apollo, The Book Two: Dark Prophecy, The-Trials of Apollo, The Book Two",Rick Riordan,2017,4.7,"18,217",Hardcover,11.28
877,82,"Everything, Everything",Nicola Yoon,2017,4.6,"20,545",Paperback,8.49
878,83,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,2017,4.6,"34,806",Paperback,9.99
879,84,Norse Mythology,Neil Gaiman,2017,4.5,"33,887",Hardcover,16.50
880,85,Beneath a Scarlet Sky: A Novel,Mark Sullivan,2017,4.6,"221,948",Paperback,13.46
881,86,Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2),Dav Pilkey,2017,4.8,"20,474",Hardcover,
882,87,Lilac Girls: A Novel (Woolsey-Ferriday),Martha Hall Kelly,2017,4.5,"53,726",Paperback,9.90
883,88,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,2017,4.9,"25,678",Hardcover,21.34
884,89,"Magnus Chase and the Gods of Asgard, Book 3: Ship of the Dead, The-Magnus Chase and the Gods of Asgard, Book 3",Rick Riordan,2017,4.7,"14,669",Hardcover,11.39
885,90,"Al Franken, Giant of the Senate",Al Franken,2017,4.7,"10,137",Hardcover,11.62
886,91,Principles: Life and Work,Ray Dalio,2017,4.6,"17,269",Hardcover,18.98
887,92,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,2017,4.7,"29,033",Paperback,8.99
888,93,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,2017,4.3,"31,167",Paperback,6.98
889,94,Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,,2017,4.7,Scholastic,Paperback,
890,95,10-Day Green Smoothie Cleanse,JJ Smith,2017,4.7,"37,683",Paperback,9.89
891,96,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,2017,4.7,"28,743",Hardcover,12.45
892,97,Dragons Love Tacos,Adam Rubin,2017,4.8,"18,114",Hardcover,9.92
893,98,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,2017,4.9,"112,387",Paperback,45.44
894,99,Killing England: The Brutal Struggle for American Independence (Bill O'Reilly's Killing Series),Bill O'Reilly,2017,4.7,"12,717",Hardcover,16.75
895,100,"Rosie Revere, Engineer (The Questioneers)",Andrea Beaty,2017,4.9,"6,697",Hardcover,10.93
896,1,Becoming,Michelle Obama,2018,4.8,"195,559",Hardcover,18.90
897,2,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,2018,4.5,"41,018",Hardcover,10.99
898,3,The Wonky Donkey,Craig Smith,2018,4.8,"80,514",Paperback,5.28
899,4,Fire and Fury: Inside the Trump White House,Michael Wolff,2018,4.0,"48,877",Hardcover,7.39
900,5,Fear: Trump in the White House,Bob Woodward,2018,4.4,"19,330",Hardcover,11.78
901,6,Last Week Tonight with John Oliver Presents: A Day in the Life of Marlon Bundo (HBO),Jill Twiss,2018,4.9,"16,682",Hardcover,16.99
902,7,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,2018,4.7,"58,069",Hardcover,14.43
903,8,Magnolia Table,Joanna Gaines,2018,4.8,"34,316",Hardcover,14.86
904,9,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with Stephen Colbert,2018,4.6,"10,534",Hardcover,12.00
905,10,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,2018,4.6,"138,024",Hardcover,14.38
906,11,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,2018,4.6,"17,431",Hardcover,12.53
907,12,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,2018,4.3,"31,167",Paperback,6.98
908,13,Diary of a Wimpy Kid #13: Meltdown,Jeff Kinney,2018,4.8,"30,164",Hardcover,8.79
909,14,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2018,4.8,"89,698",Paperback,8.39
910,15,First 100 Words: A Padded Board Book,Roger Priddy,2018,4.7,"37,033",Board book,4.78
911,16,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,2018,4.8,"18,763",Hardcover,
912,17,Educated: A Memoir,Tara Westover,2018,4.6,"208,421",Hardcover,14.66
913,18,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,2018,4.7,"45,565",Paperback,8.89
914,19,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",,2018,4.4,Dr. Steven R Gundry  MD,Hardcover,15.15
915,20,Giraffes Can't Dance (Board Book),,2018,4.8,Giles Andreae,Board book,5.94
916,21,D&D Player’s Handbook (Dungeons & Dragons Core Rulebook),,2018,4.9,Dungeons & Dragons,Hardcover,26.10
917,22,Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,2018,4.8,"11,625",Hardcover,20.90
918,23,The Very Hungry Caterpillar,Eric Carle,2018,4.9,"59,834",Board book,5.57
919,24,Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,2018,4.3,"52,781",Paperback,10.95
920,25,The Hate U Give: A Printz Honor Winner,Angie Thomas,2018,4.7,"47,539",Hardcover,10.73
921,26,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,2018,4.4,"13,254",Paperback,9.93
922,27,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2018,4.7,"107,961",Paperback,7.74
923,28,The Wonderful Things You Will Be,Emily Winfield Martin,2018,4.9,"28,456",Hardcover,9.40
924,29,P is for Potty! (Sesame Street) (Lift-the-Flap),,2018,4.7,Naomi Kleinberg,Board book,5.19
925,30,The Pout-Pout Fish,Deborah Diesen,2018,4.8,"25,836",Board book,4.98
926,31,CreateSpace Classics Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,2018,4.5,"21,143",Paperback,6.99
927,32,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2018,4.5,"12,971",Paperback,15.38
928,33,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,2018,4.9,"28,326",Board book,5.00
929,34,"Oh, the Places You'll Go!  ",Dr. Seuss,2018,4.9,"48,035",Hardcover,7.49
930,35,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,2018,4.8,"19,790",Hardcover,9.00
931,36,Goodnight Moon,Margaret Wise Brown,2018,4.9,"27,618",Board book,5.36
932,37,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,2018,4.8,"22,342",Hardcover,26.87
933,38,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,2018,4.4,"26,545",Paperback,7.14
934,39,How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,2018,4.7,"111,894",Paperback,10.30
935,40,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,2018,4.8,"21,327",Hardcover,13.97
936,41,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy Instant Pot Recipes.,Jennifer Smith,2018,4.4,"13,653",Paperback,6.98
937,42,Milk and Honey,Rupi Kaur,2018,4.7,"60,326",Paperback,7.83
938,43,Little Fires Everywhere,Celeste Ng,2018,4.4,"178,885",Hardcover,14.15
939,44,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,2018,4.8,"8,102",Paperback,9.39
940,45,The President Is Missing: A Novel,James Patterson,2018,4.3,"64,002",Hardcover,15.69
941,46,"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",School Zone,2018,4.8,"70,779",Paperback,7.48
942,47,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free (The Plant Paradox, 2)",,2018,4.4,Dr. Steven R Gundry  MD,Hardcover,19.59
943,48,Ready Player One: A Novel,Ernest Cline,2018,4.6,"147,800",Paperback,10.45
944,49,Fahrenheit 451,Ray Bradbury,2018,4.6,"48,410",Paperback,8.36
945,50,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,2018,4.7,"9,802",Hardcover,14.63
946,51,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,2018,4.6,"140,761",Paperback,11.15
947,52,Wonder,R. J. Palacio,2018,4.7,"83,319",Hardcover,9.40
948,53,To Kill a Mockingbird,Harper Lee,2018,4.7,"130,590",Paperback,8.89
949,54,The Whole30: The 30-Day Guide to Total Health and Food Freedom,,2018,4.6,Melissa Hartwig Urban,Hardcover,16.26
950,55,The Keto Diet: The Complete Guide to a High-Fat Diet,Leanne Vogel,2018,4.4,"7,714",Paperback,18.29
951,56,Everybody Always: Becoming Love in a World Full of Setbacks and Difficult People,Bob Goff,2018,4.8,"8,935",Paperback,10.99
952,57,Before We Were Yours: A Novel,Lisa Wingate,2018,4.6,"141,652",Hardcover,14.73
953,58,The Reckoning: A Novel,John Grisham,2018,4.1,"62,712",Hardcover,15.73
954,59,"Brown Bear, Brown Bear, What Do You See?",,2018,4.9,Bill Martin Jr.,Board book,4.94
955,60,Beneath a Scarlet Sky: A Novel,Mark Sullivan,2018,4.6,"221,948",Paperback,13.46
956,61,What to Expect When You're Expecting,Heidi Murkoff,2018,4.8,"32,912",Paperback,12.88
