,Rank,Title,Author,Year,Ratings,Reviews,Cover_type,Price($)
181,85,Sookie Stackhouse 8-copy Boxed Set (Sookie Stackhouse / Southern Vampire),Charlaine Harris,2010,4.7,"1,630",Mass Market Paperback,70.50
182,86,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,2010,4.6,"37,106",Paperback,10.32
183,87,Hotel on the Corner of Bitter and Sweet,Jamie Ford,2010,4.5,"14,007",Paperback,11.99
184,88,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,2010,4.4,"8,291",Hardcover,27.00
185,89,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,2010,4.5,792,Paperback,20.99
186,90,"Happy Ever After (Bride Quartet, Book 4)",Nora Roberts,2010,4.7,"3,720",Paperback,13.12
187,91,A Guide to the Project Management Body of Knowledge,Project Management Institute,2010,4.4,755,Paperback,13.00
188,92,The Book Thief,Markus Zusak,2010,4.6,"67,269",Paperback,7.83
189,93,The Catcher in the Rye,J. D. Salinger,2010,4.4,"37,763",Paperback,12.78
190,94,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",,2010,4.7,Thomas Campbell,Paperback,
191,95,American Assassin: A Thriller (A Mitch Rapp Novel),Vince Flynn,2010,4.5,"18,385",Hardcover,26.76
192,96,Rework,Jason Fried,2010,4.5,"10,351",Hardcover,12.49
193,97,In Defense of Food: An Eater's Manifesto,Michael Pollan,2010,4.6,"4,023",Paperback,13.24
194,98,Squirrel Seeks Chipmunk: A Modest Bestiary,David Sedaris,2010,4.2,"1,191",Hardcover,18.74
195,99,Who Moved My Cheese,Spencer Johnson,2010,4.6,"24,704",Hardcover,12.99
196,1,Steve Jobs,Walter Isaacson,2011,4.7,"23,436",Hardcover,18.29
197,2,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,2011,4.6,"24,987",Paperback,10.49
198,3,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,2011,4.7,"20,981",Hardcover,11.88
199,4,StrengthsFinder 2.0,,2011,4.1,Gallup,Hardcover,20.96
200,5,The Hunger Games (Book 1),Suzanne Collins,2011,4.7,"80,788",Paperback,7.19
201,6,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2011,4.7,"75,431",Hardcover,15.68
202,7,Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,2011,4.7,"17,195",Hardcover,15.72
203,8,Go the F**k to Sleep,Adam Mansbach,2011,4.8,"22,520",Hardcover,13.38
204,9,Mockingjay (The Hunger Games),Suzanne Collins,2011,4.6,"79,851",Hardcover,11.44
205,10,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,2011,4.7,"8,392",Mass Market Paperback,
206,11,Catching Fire (The Hunger Games),Suzanne Collins,2011,4.7,"64,888",Hardcover,11.64
207,12,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,,2011,4.3,Mike Moreno,Hardcover,18.98
208,13,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,2011,4.6,"47,713",Hardcover,19.00
209,14,"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,2011,4.8,"25,812",Hardcover,11.39
210,15,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,2011,4.6,"15,073",Hardcover,13.99
211,16,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2011,4.5,"12,971",Paperback,15.38
212,17,The Help,Kathryn Stockett,2011,4.7,"33,007",Paperback,9.10
213,18,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2011,4.6,"27,816",Paperback,13.09
214,19,11/22/63: A Novel,Stephen King,2011,4.8,"3,342",Hardcover,19.09
215,20,The Official SAT Study Guide,,2011,4.4,The College Board,Paperback,
